,orgId,scaffoldId
0,azobra,NC_016619
1,Cola,CP003346
2,Dino,"57,145"
3,Dino,"57,148"
4,Dyella79,N515DRAFT_scaffold00001.1
5,Dyella79,N515DRAFT_scaffold00003.3
6,Dyella79,N515DRAFT_scaffold00005.5
7,Dyella79,N515DRAFT_scaffold00008.8
8,Dyella79,N515DRAFT_scaffold00015.15
9,Kang,B158DRAFT_scaffold_0.1
10,Keio,NC_000913
11,Korea,NZ_BCYW01000001
12,Marino,NC_017507
13,Marino,NC_017506
14,Miya,NC_011769
15,MR-1,139
16,MR-1,140
17,pseudo1_N1B4,NZ_LUKJ01000003
18,pseudo1_N1B4,NZ_LUKJ01000001
19,pseudo5_N2C3,CP012831
20,pseudo13_GW456-L13,scaffold1/0|quiver|pilon 
21,pseudo13_GW456-L13,scaffold1/0|quiver|pilon
22,psRCH2,Psest_Contig47.1
23,psRCH2,Psest_Contig44.3
24,Smeli,NC_003078
25,Smeli,NC_003078
26,SynE,NC_007595
